id	vial	female	male	day	eggs	failure		
182	84	val	dhm	2	20	0		
183	87	val	dhm	2	16	0		
184	88	val	dhm	2	13	0		
185	93	val	dhm	2	10	0		
186	94	val	dhm	2	24	0		
187	101	lhm	dhm	2	14	0		
188	105	lhm	dhm	2	17	0		
189	106	lhm	dhm	2	9	0		
190	109	lhm	dhm	2	21	0		
191	111	lhm	dhm	2	17	0		
192	112	lhm	dhm	2	17	0		
193	115	lhm	dhm	2	13	0		
194	117	lhm	dhm	2	14	0		
195	119	lhm	dhm	2	9	0		
196	127	val	iv	2	21	0		
197	128	val	iv	2	13	1		
198	129	val	iv	2	22	0		
199	130	val	iv	2	14	0		
200	133	val	iv	2	14	0		
201	136	val	iv	2	20	0		
202	134	val	iv	2	11	0		
203	142	val	iv	2	15	0		
204	146	val	iv	2	18	0		
205	151	lhm	iv	2	19	0		
206	152	lhm	iv	2	19	0		
207	163	lhm	iv	2	11	0		
208	177	iv	dhm	2	6	0		
209	180	iv	dhm	2	10	0		
210	182	iv	dhm	2	0	0		
211	183	iv	dhm	2	2	0		
212	184	iv	dhm	2	10	0		
213	186	iv	dhm	2	3	0		
214	190	iv	dhm	2	15	0		
215	191	iv	dhm	2	6	0		
216	195	iv	dhm	2	6	0		
217	196	iv	 dhm	2	0	0		
218	201	lhm	lhm	2	25	0		
219	202	lhm	lhm	2	9	0		
220	204	lhm	lhm	2	15	0		
221	206	lhm	lhm	2	3	0		
222	207	lhm	lhm	2	11	0		
223	209	lhm	lhm	2	13	0		
224	212	lhm	lhm	2	5	0		
225	215	lhm	lhm	2	13	0		
226	216	lhm	lhm	2	11	0		
227	217	lhm	lhm	2	2	0		
228	227	val	val	2	15	0		
229	229	val	val	2	16	0		
230	233	val	val	2	13	0		
231	234	val	val	2	1	0		
232	236	val	val	2	18	0		
233	242	val	val	2	19	0		
234	244	val	val	2	22	0		
235	246	val	val	2	15	0		
236	247	val	val	2	16	0		
237	250	val	val	2	17	0		
238	251	iv	lhm	2	15	0		
239	252	iv	lhm	2	7	0		
240	254	iv	lhm	2	9	0		
241	255	iv	lhm	2	6	0		
242	256	iv	lhm	2	14	0		
243	257	iv	lhm	2	8	0		
244	259	iv	lhm	2	8	0		
245	268	iv	lhm	2	10	0		
246	269	iv	lhm	2	0	0		
247	278	dhm	lhm	2	18	0		
248	282	dhm	lhm	2	12	0		
249	287	dhm	lhm	2	0	1		
250	291	dhm	lhm	2	15	0		
251	292	dhm	lhm	2	21	0		
252	302	dhm	val	2	34	0		
253	303	dhm	val	2	20	0		
254	305	dhm	val	2	27	0		
255	306	dhm	val	2	0	0		
256	307	dhm	val	2	29	0		
257	309	dhm	val	2	12	0		
258	316	dhm	val	2	12	0		
259	317	dhm	val	2	19	0		
260	320	dhm	val	2	13	0		
261	325	dhm	val	2	0	1		
262	326	iv	val	2	20	0		
263	327	iv	val	2	9	0		
264	328	iv	val	2	10	0		
265	329	iv	val	2	7	0		
266	330	iv	val	2	7	0		
267	335	iv	val	2	10	0		
268	339	iv	val	2	13	0		
269	340	iv	val	2	10	0		
270	341	iv	val	2	0	0		
271	342	iv	val	2	dead_F	1		
272	343	iv	val	2	no_female	1		
273	351	lhm	val	2	15	0		
274	353	lhm	val	2	20	0		
275	354	lhm	val	2	2	0		
276	357	lhm	val	2	11	0		
277	358	lhm	val	2	20	0		
278	361	lhm	val	2	15	0		
279	367	lhm	val	2	12	0		
280	368	lhm	val	2	0	0		
281	372	lhm	val	2	10	0		
282	373	lhm	val	2	10	0		
283	376	val	lhm	2	22	0		
284	377	val	lhm	2	10	0		
285	379	val	lhm	2	22	0		
286	382	val	lhm	2	25	0		
287	383	val	lhm	2	16	0		
288	385	val	lhm	2	12	0		
289	391	val	lhm	2	13	0		
290	392	val	lhm	2	12	0		
291	393	val	lhm	2	13	0		
292	394	val	lhm	2	11	0		
293	1	iv	iv	3	15	0		
294	6	iv	iv	3	12	0		
295	7	iv	iv	3	12	0		
296	8	iv	iv	3	16	0		
297	11	iv	iv	3	13	0		
298	12	iv	iv	3	0	0		
299	13	iv	iv	3	7	0		
300	14	iv	iv	3	19	0		
301	18	iv	iv	3	10	0		
302	21	iv	iv	3	0	2		
303	28	dhm	dhm	3	23	0		
304	31	dhm	dhm	3	12	2		
305	34	dhm	dhm	3	14	0		
306	36	dhm	dhm	3	18	0		
307	37	dhm	dhm	3	29	0		
308	39	dhm	dhm	3	22	0		
309	40	dhm	dhm	3	15	0		
310	41	dhm	dhm	3	26	0		
311	42	dhm	dhm	3	dead_F	1		
312	45	dhm	dhm	3	24	0		
313	52	dhm	iv	3	23	0		
314	57	dhm	iv	3	0	2		
315	58	dhm	iv	3	1	0		
316	59	dhm	iv	3	23	0		
317	61	dhm	iv	3	12	0		
318	64	dhm	iv	3	16	0		
319	65	dhm	iv	3	21	0		
320	69	dhm	iv	3	29	0		
321	70	dhm	iv	3	21	0		
322	71	dhm	iv	3	30	0		
323	76	val	dhm	3	26	0		
324	78	val	dhm	3	20	0		
325	79	val	dhm	3	21	0		
326	80	val	dhm	3	25	0		
327	81	val	dhm	3	26	0		
328	84	val	dhm	3	20	0		
329	87	val	dhm	3	29	0		
330	88	val	dhm	3	11	0		
331	93	val	dhm	3	18	0		
332	94	val	dhm	3	34	0		
333	101	lhm	dhm	3	18	0		
334	105	lhm	dhm	3	19	0		
335	106	lhm	dhm	3	19	0		
336	109	lhm	dhm	3	25	0		
337	111	lhm	dhm	3	21	0		
338	112	lhm	dhm	3	17	0		
339	115	lhm	dhm	3	3	0		
340	117	lhm	dhm	3	13	0		
341	119	lhm	dhm	3	18	0		
342	127	val	iv	3	23	0		
343	128	val	iv	3	dead_F	1		
344	129	val	iv	3	22	0		
345	130	val	iv	3	27	0		
346	133	val	iv	3	12	0		
347	136	val	iv	3	26	0		
348	134	val	iv	3	24	0		
349	142	val	iv	3	10	0		
350	146	val	iv	3	23	0		
351	151	lhm	iv	3	24	0		
352	152	lhm	iv	3	18	0		
353	163	lhm	iv	3	18	0		
354	177	iv	dhm	3	7	0		
355	180	iv	dhm	3	11	0		
356	182	iv	dhm	3	0	0		
357	183	iv	dhm	3	0	0		
358	184	iv	dhm	3	7	0		
359	186	iv	dhm	3	13	0		
360	190	iv	dhm	3	10	0		
361	191	iv	dhm	3	8	0		
362	195	iv	dhm	3	10	0		
363	196	iv	 dhm	3	11	0		
364	201	lhm	lhm	3	28	0		
365	202	lhm	lhm	3	20	0		
366	204	lhm	lhm	3	11	0		
367	206	lhm	lhm	3	21	0		
368	207	lhm	lhm	3	13	0		
369	209	lhm	lhm	3	18	0		
370	212	lhm	lhm	3	15	0		
371	215	lhm	lhm	3	15	0		
372	216	lhm	lhm	3	18	0		
373	217	lhm	lhm	3	0	0		
374	227	val	val	3	7	0		
