vial	day	female	male	mated	eggs	total_emerged	prop_eggs_emerged	failure									
335	1	iv	val	1	22	14	0.636363636	0									
339	1	iv	val	1	19	18	0.947368421	0									
340	1	iv	val	1	15	9	0.6	0									
341	1	iv	val	1	19	19	1	0									
342	1	iv	val	1	dead F	0	#VALUE!	1									
343	1	iv	val	1	no female	0	#VALUE!	1									
351	1	lhm	val	1	7	6	0.857142857	0									
353	1	lhm	val	1	8	9	1.125	0									
354	1	lhm	val	1	8	5	0.625	0									
357	1	lhm	val	1	14	10	0.714285714	0									
358	1	lhm	val	1	15	13	0.866666667	0									
361	1	lhm	val	1	17	15	0.882352941	0									
367	1	lhm	val	1	11	11	1	0									
368	1	lhm	val	1	4	5	1.25	0									
372	1	lhm	val	1	12	14	1.166666667	0									
373	1	lhm	val	1	15	15	1	0									
374	1	lhm	val	1		0	#DIV/0!	1									
375	1	lhm	val	1		0	#DIV/0!	1									
376	1	val	lhm	1	16	16	1	0									
377	1	val	lhm	1	19	24	1.263157895	0									
379	1	val	lhm	1	25	28	1.12	0									
382	1	val	lhm	1	27	28	1.037037037	0									
383	1	val	lhm	1	12	15	1.25	0									
385	1	val	lhm	1	22	24	1.090909091	0									
391	1	val	lhm	1	14	16	1.142857143	0									
392	1	val	lhm	1	23	24	1.043478261	0									
393	1	val	lhm	1	17	18	1.058823529	0									
394	1	val	lhm	1	12	12	1	0									
1	2	iv	iv	1	9	8	0.888888889	0									
6	2	iv	iv	1	11	12	1.090909091	0									
7	2	iv	iv	1	6	6	1	0									
8	2	iv	iv	1	14	14	1	0									
11	2	iv	iv	1	6	5	0.833333333	0									
12	2	iv	iv	1	7	7	1	0									
13	2	iv	iv	1	9	8	0.888888889	0									
14	2	iv	iv	1	11	12	1.090909091	0									
18	2	iv	iv	1	6	3	0.5	0									
21	2	iv	iv	1	10	8	0.8	0									
28	2	dhm	dhm	1	17	17	1	0									
31	2	dhm	dhm	1	50	46	0.92	0									
34	2	dhm	dhm	1	16	16	1	0									
36	2	dhm	dhm	1	17	16	0.941176471	0									
37	2	dhm	dhm	1	17	14	0.823529412	0									
39	2	dhm	dhm	1	17	10	0.588235294	0									
40	2	dhm	dhm	1	6	6	1	0									
41	2	dhm	dhm	1	22	11	0.5	0									
42	2	dhm	dhm	1	13	8	0.615384615	0									
45	2	dhm	dhm	1	19	14	0.736842105	0									
