id	female	male	mated	dnm	failure	mating_duration	latency										
199	iv	dhm	1	0	0	18.92	27.4492										
200	iv	dhm	1	0	0	12.22	30.8096										
201	lhm	lhm	1	0	0	31.94	69.37										
202	lhm	lhm	1	0	0	33.26	150.1288										
203	lhm	lhm	0	1	0	0.00	-0.3624										
204	lhm	lhm	1	0	0	20.80	17.8964										
205	lhm	lhm	0	1	0	0.00	-0.7248										
206	lhm	lhm	1	0	0	24.36	139.174										
207	lhm	lhm	1	0	0	17.28	68.1528										
208	lhm	lhm	1	0	0	22.34	171.7516										
209	lhm	lhm	1	0	0	37.19	109.8704										
210	lhm	lhm	1	0	0	38.31	123.5092										
211	lhm	lhm	1	0	0	27.18	128.268										
212	lhm	lhm	1	0	0	26.09	22.2168										
213	lhm	lhm	0	1	0	0.00	-2.1744										
214	lhm	lhm	1	0	0	28.47	104.7244										
215	lhm	lhm	0	1	0	0.00	-2.5368										
216	lhm	lhm	1	0	0	31.05	81.642										
217	lhm	lhm	0	1	0	0.00	-2.8992										
218	lhm	lhm	0	1	0	0.00	-3.0804										
219	lhm	lhm	0	1	0	0.00	-3.2616										
220	lhm	lhm	0	1	0	0.00	-3.4428										
221	lhm	lhm	0	1	0	0.00	-3.624										
222	lhm	lhm	1	0	0	42.53	42.6648										
223	lhm	lhm	1	0	0	27.04	120.1836										
224	lhm	lhm	0	1	0	0.00	-4.1676										
225	lhm	lhm	0	1	0	0.00	-4.3488										
226	val	val	1	0	0	22.04	60.64										
227	val	val	1	0	0	2.88	78.632										
228	val	val	1	0	0	14.00	64.204										
229	val	val	1	0	0	20.03	135.536										
230	val	val	1	0	0	12.14	80.208										
231	val	val	1	0	0	8.81	38.2										
232	val	val	1	0	0	7.13	111.842										
233	val	val	0	1	0	0.00	-6.536										
234	val	val	1	0	0	18.93	168.476										
235	val	val	0	1	0	0.00	-6.832										
236	val	val	1	0	0	18.52	142.51										
237	val	val	0	1	0	0.00	-7.128										
238	val	val	0	1	0	0.00	-7.276										
239	val	val	0	1	0	0.00	-7.424										
240	val	val	0	1	0	0.00	-7.572										
241	val	val	1	0	0	11.17	76.56										
242	val	val	1	0	1	2.32	91.262										
243	val	val	1	0	0	20.64	165.434										
244	val	val	1	0	0	18.31	125.076										
245	val	val	0	1	0	0.00	-8.312										
246	val	val	1	0	0	12.00	94.95										
247	val	val	0	1	0	0.00	-8.608										
248	val	val	0	1	0	0.00	-8.756										
249	val	val	1	0	0	10.84	145.316										
250	val	val	1	0	1	0.00	-9.052										
251	iv	lhm	1	0	0	21.18	46.87										
252	iv	lhm	1	0	0	27.15	107.5356										
253	iv	lhm	1	0	0	42.95	110.6412										
254	iv	lhm	1	0	0	24.78	124.5268										
255	iv	lhm	1	0	0	38.84	130.3824										
256	iv	lhm	1	0	0	40.05	175.898										
257	iv	lhm	0	1	0	0.00	-10.4364										
258	iv	lhm	0	1	0	0.00	-10.6008										
259	iv	lhm	1	0	0	10.59	154.7648										
260	iv	lhm	1	0	0	26.11	170.5304										
261	iv	lhm	1	0	0	12.75	44.456										
262	iv	lhm	1	0	0	38.77	115.1216										
263	iv	lhm	0	1	0	0.00	-11.4228										
264	iv	lhm	1	0	0	34.76	177.6728										
265	iv	lhm	1	0	0	33.71	35.7184										
266	iv	lhm	1	0	0	35.93	120.564										
267	iv	lhm	1	0	0	17.92	79.0096										
268	iv	lhm	1	0	0	38.07	22.0552										
269	iv	lhm	0	1	0	0.00	-12.4092										
270	iv	lhm	1	0	0	33.45	49.4264										
271	iv	lhm	1	0	0	10.52	77.782										
272	iv	lhm	1	0	0	28.99	46.2876										
273	iv	lhm	0	1	0	0.00	-13.0668										
274	iv	lhm	1	0	0	49.91	142.0088										
275	iv	lhm	1	0	0	36.02	69.6044										
276	dhm	lhm	0	1	0	0.00	-15.31										
277	dhm	lhm	1	0	0	0.00	-15.4368										
278	dhm	lhm	1	0	0	32.63	153.9064										
279	dhm	lhm	0	1	0	0.00	-15.6904										
280	dhm	lhm	1	0	0	49.78	95.5728										
281	dhm	lhm	0	1	0	0.00	-15.944										
282	dhm	lhm	1	0	0	36.49	126.0192										
283	dhm	lhm	0	1	0	0.00	-16.1976										
284	dhm	lhm	0	1	0	0.00	-16.3244										
285	dhm	lhm	1	0	0	26.00	174.6488										
286	dhm	lhm	1	0	0	38.76	125.712										
287	dhm	lhm	1	0	0	44.76	132.6252										
288	dhm	lhm	1	0	0	24.30	120.3784										
289	dhm	lhm	0	1	0	0.00	-16.9584										
290	dhm	lhm	0	1	0	0.00	-17.0852										
291	dhm	lhm	0	1	0	0.00	-17.212										
292	dhm	lhm	0	1	0	0.00	-17.3388										
293	dhm	lhm	1	0	0	25.78	150.8444										
294	dhm	lhm	1	0	0	29.82	123.7676										
295	dhm	lhm	0	1	0	0.00	-17.7192										
296	dhm	lhm	0	1	0	0.00	-17.846										
297	dhm	lhm	0	1	0	0.00	-17.9728										
298	dhm	lhm	1	0	0	30.11	135.3604										
299	dhm	lhm	1	0	0	35.05	98.2736										
300	dhm	lhm	0	1	0	0.00	-18.3532										
301	dhm	val	1	0	0	29.28	158.55										
302	dhm	val	0	1	0	0.00	-15.6										
303	dhm	val	1	0	0	19.02	17.73										
304	dhm	val	1	0	0	17.03	22.82										
305	dhm	val	1	0	0	21.36	103.49										
306	dhm	val	0	1	0	0.00	-15.6										
307	dhm	val	1	0	0	21.05	72.93										
308	dhm	val	1	0	0	19.54	30.45										
309	dhm	val	1	0	0	-9.97	27.7										
310	dhm	val	1	0	0	16.92	89.83										
311	dhm	val	1	0	0	25.97	110.53										
312	dhm	val	1	0	0	21.07	17.73										
313	dhm	val	1	0	0	17.50	47.46										
314	dhm	val	1	0	0	19.30	96.54										
315	dhm	val	1	0	0	26.26	83.66										
316	dhm	val	1	0	0	23.29	103.49										
317	dhm	val	1	0	0	21.84	183.61										
318	dhm	val	1	0	0	24.31	134.59										
319	dhm	val	1	0	1	7.31	84.61										
320	dhm	val	0	1	0	0.00	-15.6										
321	dhm	val	0	1	0	0.00	-15.6										
322	dhm	val	1	0	0	11.82	52.65										
323	dhm	val	1	0	0	23.64	150.83										
324	dhm	val	1	0	0	23.68	121.88										
325	dhm	val	1	0	0	13.82	79.67										
326	iv	val	1	0	0	17.04	13.15										
327	iv	val	1	0	0	19.73	64.144										
328	iv	val	1	0	0	12.10	12.818										
329	iv	val	1	0	0	14.28	14.602										
330	iv	val	1	0	0	16.10	12.486										
331	iv	val	1	0	0	18.65	23.68										
332	iv	val	1	0	0	21.10	40.124										
333	iv	val	1	0	0	18.02	22.408										
334	iv	val	0	1	0	0.00	-25.328										
335	iv	val	1	0	0	15.03	17.506										
336	iv	val	1	0	0	17.13	78.72										
337	iv	val	1	0	0	15.77	26.654										
338	iv	val	1	0	0	13.86	21.578										
339	iv	val	1	0	0	20.61	30.432										
340	iv	val	1	0	0	15.20	10.826										
341	iv	val	1	0	0	18.33	92.77										
342	iv	val	1	0	0	13.15	33.624										
343	iv	val	1	0	0	16.63	78.768										
344	iv	val	1	0	0	19.05	36.532										
345	iv	val	1	0	0	27.09	153.056										
346	iv	val	1	0	0	18.40	27.71										
347	iv	val	1	0	0	21.37	39.674										
348	iv	val	1	0	0	20.12	31.548										
349	iv	val	1	0	0	13.38	16.222										
350	iv	val	1	0	0	11.41	65.176										
351	lhm	val	1	0	0	18.23	41.15										
352	lhm	val	0	1	0	0.00	-29.31										
353	lhm	val	1	0	0	16.44	11.57										
354	lhm	val	1	0	0	0.00	-29.63										
355	lhm	val	1	0	0	11.89	59.39										
356	lhm	val	1	0	0	14.72	11.33										
357	lhm	val	1	0	0	30.95	48.96										
358	lhm	val	0	1	0	0.00	-30.27										
359	lhm	val	0	1	0	0.00	-30.43										
360	lhm	val	1	0	0	21.06	158.66										
361	lhm	val	0	1	0	0.00	-30.75										
362	lhm	val	0	1	0	0.00	-30.91										
363	lhm	val	1	0	0	21.70	140.4										
364	lhm	val	1	0	0	22.69	139.25										
365	lhm	val	1	0	0	12.59	53.61										
366	lhm	val	1	0	0	17.88	18.87										
367	lhm	val	1	0	0	12.92	26.37										
368	lhm	val	0	1	0	0.00	-31.87										
369	lhm	val	1	0	0	22.46	164.09										
370	lhm	val	0	1	0	0.00	-32.19										
371	lhm	val	0	1	0	0.00	-32.35										
372	lhm	val	1	0	0	17.50	100.53										
373	lhm	val	0	1	0	0.00	-32.67										
374	lhm	val	0	1	0	0.00	-32.83										
375	lhm	val	0	1	0	0.00	-32.99										
376	val	lhm	1	0	2	34.10	120.156										
377	val	lhm	1	0	2	21.23	180.922										
378	val	lhm	1	0	2	0.00	-34.502										
379	val	lhm	1	0	2	0.00	-34.636										
380	val	lhm	0	1	2	0.00	-34.77										
381	val	lhm	0	1	2	0.00	-34.904										
382	val	lhm	0	1	2	0.00	-35.038										
383	val	lhm	1	0	2	0.00	-35.172										
384	val	lhm	1	0	2	19.89	169.124										
385	val	lhm	1	0	2	0.00	-35.44										
386	val	lhm	0	1	2	0.00	-35.574										
387	val	lhm	0	1	2	0.00	-35.708										
388	val	lhm	0	1	2	0.00	-35.842										
389	val	lhm	1	0	2	0.00	-35.976										
390	val	lhm	1	0	2	0.00	-36.11										
391	val	lhm	1	0	2	28.48	162.276										
392	val	lhm	0	1	2	0.00	-36.378										
393	val	lhm	1	0	2	12.54	64.078										
394	val	lhm	1	0	2	24.22	167.464										
395	val	lhm	0	1	2	0.00	-36.78										
396	val	lhm	1	0	2	0.00	-36.914										
397	val	lhm	1	0	2	0.00	-37.048										
398	val	lhm	1	0	2	0.00	-37.182										
399	val	lhm	0	1	2	0.00	-37.316										
400	val	lhm	0	1	2	0.00	-37.45										
